count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,400,100,1,201.0,1990.0497512437812,108.0,NULL,205.0,NULL,402.0048780487805,155.4974358974359
1,31/10/2019,ycsb-redis,workloads/workloada,400,100,1,277.0,1444.043321299639,147.0,NULL,211.0,NULL,370.8957345971564,250.64021164021165
2,31/10/2019,ycsb-redis,workloads/workloada,400,100,1,143.0,2797.2027972027972,87.0,NULL,203.0,NULL,245.32512315270935,123.84771573604061
3,31/10/2019,ycsb-redis,workloads/workloada,400,100,1,140.0,2857.1428571428573,152.0,NULL,182.0,NULL,246.32417582417582,154.61467889908258
4,31/10/2019,ycsb-redis,workloads/workloada,400,100,1,161.0,2484.472049689441,87.0,NULL,205.0,NULL,266.9024390243902,160.93333333333334
5,31/10/2019,ycsb-redis,workloads/workloada,400,100,1,138.0,2898.550724637681,88.0,NULL,221.0,NULL,246.86877828054298,126.26815642458101
