count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,110.0,272.72727272727275,114.0,NULL,17.0,NULL,794.3529411764706,4403.538461538462
1,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,55.0,545.4545454545455,94.0,NULL,15.0,NULL,575.3333333333334,336.1333333333333
2,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,51.0,588.2352941176471,89.0,NULL,14.0,NULL,842.5,168.625
3,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,63.0,476.1904761904762,84.0,NULL,16.0,NULL,596.0625,1068.642857142857
4,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,104.0,288.46153846153845,156.0,NULL,18.0,NULL,881.2222222222222,531.75
5,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,156.0,192.30769230769232,210.0,NULL,16.0,NULL,1734.4375,722.1428571428571
6,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,87.0,344.82758620689657,123.0,NULL,12.0,NULL,1462.1666666666667,220.88888888888889
7,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,157.0,191.0828025477707,157.0,NULL,18.0,NULL,1566.9444444444443,402.5833333333333
