count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,166.0,5421.686746987952,85.0,NULL,442.0,NULL,139.09049773755657,91.74235807860262
1,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,286.0,3146.853146853147,100.0,NULL,449.0,NULL,219.5033407572383,138.019955654102
2,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,485.0,1855.6701030927834,119.0,NULL,466.0,NULL,494.6030042918455,241.426267281106
3,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,369.0,2439.0243902439024,152.0,NULL,459.0,NULL,313.24183006535947,204.57369614512473
4,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,611.0,1472.9950900163667,106.0,NULL,448.0,NULL,583.125,475.98230088495575
5,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,174.0,5172.413793103448,106.0,NULL,428.0,NULL,154.36682242990653,88.69915254237289
6,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,296.0,3040.5405405405404,87.0,NULL,446.0,NULL,184.76681614349775,273.33920704845815
7,31/10/2019,ycsb-redis,workloads/workloada,900,600,1,174.0,5172.413793103448,109.0,NULL,462.0,NULL,149.98701298701297,86.3972602739726
