count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,779.0,64.18485237483954,115.0,NULL,29.0,NULL,13716.551724137931,14167.57142857143
1,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,633.0,78.98894154818325,112.0,NULL,33.0,NULL,7533.424242424242,16565.235294117647
3,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,395.0,126.58227848101266,137.0,NULL,27.0,NULL,4307.518518518518,10419.608695652174
4,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,189.0,264.55026455026456,104.0,NULL,24.0,NULL,459.8333333333333,5526.2307692307695
5,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,182.0,274.72527472527474,131.0,NULL,32.0,NULL,519.1875,5460.166666666667
6,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,132.0,378.7878787878788,142.0,NULL,26.0,NULL,582.5384615384615,2901.375
7,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,194.0,257.7319587628866,213.0,NULL,35.0,NULL,569.9714285714285,7390.666666666667
8,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,268.0,186.56716417910448,3043.0,NULL,25.0,NULL,941.68,6554.12
9,31/10/2019,ycsb-redis,workloads/workloada,50,25,1,333.0,150.15015015015015,205.0,NULL,18.0,NULL,1424.888888888889,4575.96875
