count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,207.0,966.1835748792271,1763.0,NULL,94.0,NULL,479.1276595744681,830.7830188679245
1,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,216.0,925.925925925926,2223.0,NULL,104.0,NULL,453.46153846153845,943.3645833333334
2,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,210.0,952.3809523809524,1726.0,NULL,106.0,NULL,711.5,645.968085106383
3,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,213.0,938.9671361502348,1778.0,NULL,102.0,NULL,722.2549019607843,663.295918367347
4,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,220.0,909.0909090909091,1559.0,NULL,84.0,NULL,484.7261904761905,838.0689655172414
5,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,214.0,934.5794392523364,1986.0,NULL,100.0,NULL,477.01,884.95
6,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,208.0,961.5384615384615,1938.0,NULL,100.0,NULL,449.05,869.01
7,22/05/2019,ycsb-memcached,workloads/workloada,200,400,1,221.0,904.9773755656108,2395.0,NULL,108.0,NULL,458.1388888888889,968.945652173913
