count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,329.0,3039.51367781155,120.0,NULL,537.0,NULL,246.98696461824954,156.69114470842334
1,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,266.0,3759.3984962406016,111.0,NULL,497.0,NULL,190.8108651911469,117.10337972166998
2,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,668.0,1497.005988023952,101.0,NULL,495.0,NULL,183.9030303030303,951.7663366336634
3,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,198.0,5050.50505050505,90.0,NULL,500.0,NULL,150.072,101.438
4,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,189.0,5291.005291005291,93.0,NULL,505.0,NULL,151.4910891089109,88.9939393939394
5,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,205.0,4878.048780487805,105.0,NULL,479.0,NULL,163.35490605427975,102.29942418426104
