count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,900,300,1,231.0,3896.103896103896,109.0,NULL,460.0,NULL,176.0717391304348,114.31136363636364
1,31/10/2019,ycsb-redis,workloads/workloada,900,300,1,279.0,3225.8064516129034,112.0,NULL,426.0,NULL,220.34037558685446,138.4704641350211
2,31/10/2019,ycsb-redis,workloads/workloada,900,300,1,340.0,2647.0588235294117,146.0,NULL,459.0,NULL,294.36383442265793,164.94331065759638
3,31/10/2019,ycsb-redis,workloads/workloada,900,300,1,378.0,2380.9523809523807,113.0,NULL,444.0,NULL,396.3355855855856,165.08552631578948
4,31/10/2019,ycsb-redis,workloads/workloada,900,300,1,311.0,2893.8906752411576,106.0,NULL,446.0,NULL,216.18385650224215,249.65418502202644
5,31/10/2019,ycsb-redis,workloads/workloada,900,300,1,171.0,5263.1578947368425,104.0,NULL,443.0,NULL,156.30248306997743,86.10722100656456
