count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
2,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,126.0,3968.253968253968,113.0,NULL,260.0,NULL,185.06923076923076,109.59166666666667
3,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,120.0,4166.666666666667,75.0,NULL,246.0,NULL,190.85365853658536,95.49606299212599
4,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,159.0,3144.6540880503144,149.0,NULL,254.0,NULL,233.45275590551182,134.9512195121951
5,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,168.0,2976.190476190476,108.0,NULL,250.0,NULL,224.912,117.748
6,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,162.0,3086.41975308642,79.0,NULL,260.0,NULL,257.21923076923076,123.03333333333333
7,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,258.0,1937.984496124031,103.0,NULL,238.0,NULL,383.1386554621849,174.62977099236642
8,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,468.0,1068.3760683760684,154.0,NULL,252.0,NULL,645.563492063492,730.7137096774194
9,31/10/2019,ycsb-redis,workloads/workloada,500,600,1,154.0,3246.753246753247,91.0,NULL,246.0,NULL,217.7479674796748,114.78740157480316
