count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,470.0,1063.8297872340424,2051.0,NULL,255.0,NULL,569.4509803921569,780.534693877551
1,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,470.0,1063.8297872340424,3521.0,NULL,249.0,NULL,528.3413654618474,748.0557768924302
2,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,339.0,1474.9262536873157,1749.0,NULL,226.0,NULL,397.0486725663717,570.514598540146
3,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,323.0,1547.9876160990711,1847.0,NULL,233.0,NULL,397.17167381974247,539.0074906367041
4,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,345.0,1449.2753623188405,2171.0,NULL,256.0,NULL,501.6015625,485.3975409836066
5,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,328.0,1524.3902439024391,2589.0,NULL,260.0,NULL,490.18461538461537,467.325
6,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,334.0,1497.005988023952,2227.0,NULL,232.0,NULL,409.2155172413793,551.7649253731344
7,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,334.0,1497.005988023952,3445.0,NULL,243.0,NULL,466.81893004115227,467.55642023346303
8,22/05/2019,ycsb-memcached,workloads/workloada,500,100,1,334.0,1497.005988023952,1751.0,NULL,246.0,NULL,391.6585365853659,567.2401574803149
