count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,287.0,1742.1602787456445,111.0,NULL,234.0,NULL,406.1025641025641,297.48496240601503
1,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,143.0,3496.5034965034965,330.0,NULL,227.0,NULL,238.59471365638765,128.02930402930403
2,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,152.0,3289.4736842105262,107.0,NULL,236.0,NULL,242.27118644067798,127.93181818181819
3,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,150.0,3333.3333333333335,134.0,NULL,266.0,NULL,219.99248120300751,118.47008547008546
4,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,172.0,2906.9767441860463,148.0,NULL,254.0,NULL,269.81496062992125,126.4390243902439
