count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-mongodb,workloads/workloada,1000,200,1,1579.0,633.3122229259025,3107.0,NULL,521.0,NULL,1210.4203454894434,965.7807933194155
1,28/05/2019,ycsb-mongodb,workloads/workloada,1000,200,1,1321.0,757.002271006813,2335.0,NULL,507.0,NULL,1120.8974358974358,768.709939148073
2,28/05/2019,ycsb-mongodb,workloads/workloada,1000,200,1,1159.0,862.8127696289905,2917.0,NULL,529.0,NULL,946.1228733459358,707.0276008492569
3,28/05/2019,ycsb-mongodb,workloads/workloada,1000,200,1,1434.0,697.350069735007,2575.0,NULL,503.0,NULL,1129.1053677932405,996.9195171026157
4,28/05/2019,ycsb-mongodb,workloads/workloada,1000,200,1,1074.0,931.0986964618249,2521.0,NULL,497.0,NULL,909.7525150905433,623.4791252485089
