count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,40,35,1,111.0,360.36036036036035,141.0,NULL,17.0,NULL,1138.3529411764705,163.43478260869566
1,31/10/2019,ycsb-redis,workloads/workloada,40,35,1,96.0,416.6666666666667,145.0,NULL,19.0,NULL,524.6842105263158,351.57142857142856
2,31/10/2019,ycsb-redis,workloads/workloada,40,35,1,95.0,421.05263157894734,142.0,NULL,17.0,NULL,938.6470588235294,171.82608695652175
