count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,100,55,1,70.0,1428.5714285714287,179.0,NULL,56.0,NULL,312.76785714285717,169.3409090909091
1,31/10/2019,ycsb-redis,workloads/workloada,100,55,1,109.0,917.4311926605504,92.0,NULL,50.0,NULL,339.74,196.86
2,31/10/2019,ycsb-redis,workloads/workloada,100,55,1,74.0,1351.3513513513512,89.0,NULL,52.0,NULL,291.9807692307692,188.89583333333334
