count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,27/05/2019,ycsb-redis,workloads/workloada,500,700,1,207.0,2415.458937198068,103.0,NULL,249.0,NULL,237.15662650602408,330.14741035856576
1,27/05/2019,ycsb-redis,workloads/workloada,500,700,1,124.0,4032.2580645161293,75.0,NULL,225.0,NULL,196.03555555555556,93.28
2,27/05/2019,ycsb-redis,workloads/workloada,500,700,1,184.0,2717.391304347826,105.0,NULL,265.0,NULL,255.9811320754717,146.72340425531914
