count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,276.0,1811.5942028985507,153.0,NULL,252.0,NULL,352.12698412698415,202.18548387096774
1,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,128.0,3906.25,80.0,NULL,219.0,NULL,217.324200913242,104.97508896797153
2,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,122.0,4098.360655737705,87.0,NULL,257.0,NULL,189.94163424124514,98.1604938271605
3,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,124.0,4032.2580645161293,86.0,NULL,245.0,NULL,196.29387755102042,98.46274509803922
4,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,123.0,4065.040650406504,80.0,NULL,255.0,NULL,186.12941176470588,103.52244897959184
5,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,123.0,4065.040650406504,80.0,NULL,237.0,NULL,180.48945147679325,106.17110266159696
