count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,27/05/2019,ycsb-redis,workloads/workloada,1000,200,1,236.0,4237.28813559322,143.0,NULL,517.0,NULL,171.5183752417795,123.26086956521739
1,27/05/2019,ycsb-redis,workloads/workloada,1000,200,1,267.0,3745.318352059925,388.0,NULL,523.0,NULL,185.97131931166348,132.916142557652
2,27/05/2019,ycsb-redis,workloads/workloada,1000,200,1,222.0,4504.504504504504,146.0,NULL,498.0,NULL,169.07429718875503,110.58565737051792
3,27/05/2019,ycsb-redis,workloads/workloada,1000,200,1,224.0,4464.285714285715,164.0,NULL,513.0,NULL,169.6783625730994,103.18685831622176
4,27/05/2019,ycsb-redis,workloads/workloada,1000,200,1,243.0,4115.22633744856,243.0,NULL,492.0,NULL,179.9491869918699,119.60236220472441
