count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,100,45,1,85.0,1176.4705882352941,133.0,NULL,46.0,NULL,417.0,150.44444444444446
1,31/10/2019,ycsb-redis,workloads/workloada,100,45,1,110.0,909.0909090909091,148.0,NULL,47.0,NULL,466.3404255319149,158.0754716981132
2,31/10/2019,ycsb-redis,workloads/workloada,100,45,1,98.0,1020.4081632653061,151.0,NULL,42.0,NULL,482.14285714285717,217.82758620689654
3,31/10/2019,ycsb-redis,workloads/workloada,100,45,1,61.0,1639.344262295082,78.0,NULL,54.0,NULL,307.75925925925924,112.84782608695652
4,31/10/2019,ycsb-redis,workloads/workloada,100,45,1,53.0,1886.7924528301887,76.0,NULL,50.0,NULL,256.2,162.8
