count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,196.0,2551.0204081632655,85.0,NULL,249.0,NULL,187.289156626506,356.30677290836655
1,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,123.0,4065.040650406504,70.0,NULL,249.0,NULL,179.63855421686748,107.32669322709164
2,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,116.0,4310.3448275862065,76.0,NULL,247.0,NULL,170.85425101214574,97.67193675889328
3,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,118.0,4237.28813559322,107.0,NULL,260.0,NULL,180.45,94.28333333333333
4,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,122.0,4098.360655737705,80.0,NULL,259.0,NULL,174.32432432432432,104.06224066390041
5,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,121.0,4132.231404958678,73.0,NULL,250.0,NULL,193.464,91.416
6,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,113.0,4424.778761061947,68.0,NULL,230.0,NULL,180.98695652173913,93.0111111111111
7,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,112.0,4464.285714285715,73.0,NULL,240.0,NULL,175.22916666666666,88.88846153846154
8,24/05/2019,ycsb-redis,workloads/workloada,500,200,1,121.0,4132.231404958678,77.0,NULL,248.0,NULL,171.06451612903226,104.08730158730158
