count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,182.0,5494.505494505494,80.0,NULL,498.0,NULL,148.29116465863453,85.27490039840637
1,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,184.0,5434.782608695652,81.0,NULL,517.0,NULL,138.99226305609284,87.94824016563147
2,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,217.0,4608.294930875576,110.0,NULL,494.0,NULL,161.56477732793522,110.01185770750988
3,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,187.0,5347.593582887701,83.0,NULL,508.0,NULL,144.6220472440945,90.85772357723577
4,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,192.0,5208.333333333333,102.0,NULL,508.0,NULL,153.1220472440945,94.65650406504065
5,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,473.0,2114.164904862579,140.0,NULL,506.0,NULL,362.8300395256917,205.42307692307693
6,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,456.0,2192.9824561403507,109.0,NULL,488.0,NULL,320.2950819672131,231.888671875
7,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,588.0,1700.6802721088436,149.0,NULL,490.0,NULL,409.33469387755105,340.07254901960783
