count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,124.0,4032.2580645161293,85.0,NULL,235.0,NULL,182.36595744680852,105.37358490566038
1,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,123.0,4065.040650406504,75.0,NULL,251.0,NULL,182.94820717131475,103.59839357429719
2,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,121.0,4132.231404958678,78.0,NULL,244.0,NULL,197.90983606557376,94.6328125
3,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,126.0,3968.253968253968,105.0,NULL,257.0,NULL,187.90661478599222,105.06584362139918
4,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,120.0,4166.666666666667,83.0,NULL,243.0,NULL,183.39506172839506,103.4863813229572
5,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,128.0,3906.25,107.0,NULL,235.0,NULL,207.14893617021278,101.84905660377359
6,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,128.0,3906.25,81.0,NULL,248.0,NULL,182.0766129032258,109.59126984126983
7,28/05/2019,ycsb-redis,workloads/workloada,500,700,1,126.0,3968.253968253968,78.0,NULL,240.0,NULL,185.6125,107.16538461538461
