count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,67.0,2985.0746268656717,50.0,NULL,95.0,NULL,356.30526315789473,174.2952380952381
1,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,65.0,3076.923076923077,52.5,NULL,103.0,NULL,312.06796116504853,152.63917525773195
2,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,68.0,2941.176470588235,56.5,NULL,103.0,NULL,315.90291262135923,230.90721649484536
3,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,83.0,2409.6385542168673,69.0,NULL,112.0,NULL,349.92857142857144,174.8181818181818
4,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,67.0,2985.0746268656717,56.5,NULL,88.0,NULL,329.96590909090907,179.4375
5,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,72.0,2777.777777777778,53.0,NULL,102.0,NULL,489.1372549019608,194.83673469387756
6,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,61.0,3278.688524590164,47.5,NULL,83.0,NULL,421.6385542168675,135.94871794871796
7,20/05/2019,ycsb-redis,workloads/workloada,200,300,2,67.0,2985.0746268656717,60.0,NULL,98.0,NULL,323.98979591836735,190.40196078431373
