count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,500,200,1,126.0,3968.253968253968,84.0,NULL,260.0,NULL,193.08846153846153,102.21666666666667
1,28/05/2019,ycsb-redis,workloads/workloada,500,200,1,125.0,4000.0,86.0,NULL,244.0,NULL,199.28688524590163,102.29296875
2,28/05/2019,ycsb-redis,workloads/workloada,500,200,1,282.0,1773.049645390071,117.0,NULL,241.0,NULL,439.80497925311204,250.23938223938225
