count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,122.0,245.9016393442623,156.0,NULL,13.0,NULL,1512.6923076923076,264.2352941176471
1,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,53.0,566.0377358490566,151.0,NULL,12.0,NULL,691.25,151.11111111111111
2,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,45.0,666.6666666666666,70.0,NULL,14.0,NULL,713.0,150.0625
3,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,39.0,769.2307692307693,71.0,NULL,15.0,NULL,549.2666666666667,119.66666666666667
4,31/10/2019,ycsb-redis,workloads/workloada,30,15,1,48.0,625.0,73.0,NULL,15.0,NULL,574.5333333333333,281.4
