count,Date,ExpName,No Fetches,Parallel_con,total_kbytes,total_time/sec,avg_kB/conn,fetches/sec,Kbytes/sec,avg_msec/connection,avg_msec/first_response
0,28/03/2019,httpload-apache,1530,6,17197.55859375,0.061088,11.240234375,25045.8,281521.484375,0.048281,0.149716
1,28/03/2019,httpload-apache,1560,6,17534.765625,0.062216,11.240234375,25073.9,281836.9140625,0.0467032,0.15567
2,28/03/2019,httpload-apache,1590,6,17871.97265625,0.062946,11.240234375,25259.7,283925.78125,0.046627,0.153523
3,28/03/2019,httpload-apache,1620,7,18209.1796875,0.066239,11.240234375,24456.9,274901.3671875,0.0516877,0.184306
4,28/03/2019,httpload-apache,1650,7,18546.38671875,0.065756,11.240234375,25092.8,282048.828125,0.0511976,0.180166
