time,epochTime,throughput(kbyts/sec),numofrequests(hits/sec),peaks
30/Apr/1998:22:02:05,893966525,12.099,12,
30/Apr/1998:22:02:06,893966526,163.232,25,
30/Apr/1998:22:02:07,893966527,28.914,12,
30/Apr/1998:22:02:08,893966528,1.647,1,
30/Apr/1998:22:02:09,893966529,57.995,18,
30/Apr/1998:22:02:10,893966530,42.256,8,
30/Apr/1998:22:02:11,893966531,26.582,9,
30/Apr/1998:22:02:12,893966532,68.396,17,
30/Apr/1998:22:02:13,893966533,41.985,6,
30/Apr/1998:22:02:14,893966534,67.091,7,
30/Apr/1998:22:02:15,893966535,15.624,15,
30/Apr/1998:22:02:16,893966536,30.952,8,
30/Apr/1998:22:02:17,893966537,13.259,7,
30/Apr/1998:22:02:18,893966538,107.121,19,
30/Apr/1998:22:02:19,893966539,18.819,15,
30/Apr/1998:22:02:20,893966540,47.055,17,
30/Apr/1998:22:02:21,893966541,15.479,19,
30/Apr/1998:22:02:22,893966542,26.995,30,
30/Apr/1998:22:02:23,893966543,52.288,16,
30/Apr/1998:22:02:24,893966544,73.426,26,
30/Apr/1998:22:02:25,893966545,16.924,12,
30/Apr/1998:22:02:26,893966546,31.767,23,
30/Apr/1998:22:02:27,893966547,106.04,18,
30/Apr/1998:22:02:28,893966548,123.265,24,
30/Apr/1998:22:02:29,893966549,147.674,19,
30/Apr/1998:22:02:30,893966550,61.659,14,
30/Apr/1998:22:02:31,893966551,336.262,18,
30/Apr/1998:22:02:32,893966552,101.792,17,
30/Apr/1998:22:02:33,893966553,20.504,19,
30/Apr/1998:22:02:34,893966554,42.812,16,
30/Apr/1998:22:02:35,893966555,55.864,25,
30/Apr/1998:22:02:36,893966556,29.929,18,
30/Apr/1998:22:02:37,893966557,22.672,15,
30/Apr/1998:22:02:38,893966558,36.847,11,
30/Apr/1998:22:02:39,893966559,100.616,20,
30/Apr/1998:22:02:40,893966560,37.011,19,
30/Apr/1998:22:02:41,893966561,28.37,13,
30/Apr/1998:22:02:42,893966562,9.963,13,
30/Apr/1998:22:02:43,893966563,57.378,18,
30/Apr/1998:22:02:44,893966564,110.193,22,
30/Apr/1998:22:02:45,893966565,105.351,13,
30/Apr/1998:22:02:46,893966566,77.927,14,
30/Apr/1998:22:02:47,893966567,41.099,19,
30/Apr/1998:22:02:48,893966568,59.654,18,
30/Apr/1998:22:02:49,893966569,25.232,12,
30/Apr/1998:22:02:50,893966570,53.921,12,
30/Apr/1998:22:02:51,893966571,8.984,10,
30/Apr/1998:22:02:52,893966572,91.379,8,
30/Apr/1998:22:02:53,893966573,44.776,6,
30/Apr/1998:22:02:54,893966574,38.518,12,
30/Apr/1998:22:02:55,893966575,38.586,12,
30/Apr/1998:22:02:56,893966576,11.827,11,
30/Apr/1998:22:02:57,893966577,23.131,10,
30/Apr/1998:22:02:58,893966578,50.264,20,
30/Apr/1998:22:02:59,893966579,5.077,9,
30/Apr/1998:22:03:00,893966580,3.169,7,
30/Apr/1998:22:03:01,893966581,3.371,8,
30/Apr/1998:22:03:02,893966582,66.987,14,
30/Apr/1998:22:03:03,893966583,157.678,15,
30/Apr/1998:22:03:04,893966584,60.17,11,
30/Apr/1998:22:03:05,893966585,68.327,20,
30/Apr/1998:22:03:06,893966586,22.683,11,
30/Apr/1998:22:03:07,893966587,68.0,14,
30/Apr/1998:22:03:08,893966588,75.131,16,
30/Apr/1998:22:03:09,893966589,69.997,26,
30/Apr/1998:22:03:10,893966590,38.259,25,
30/Apr/1998:22:03:11,893966591,19.983,21,
30/Apr/1998:22:03:12,893966592,2046.523,9,
30/Apr/1998:22:03:13,893966593,32.437,18,
30/Apr/1998:22:03:14,893966594,90.834,17,
30/Apr/1998:22:03:15,893966595,57.837,47,
30/Apr/1998:22:03:16,893966596,21.668,22,
30/Apr/1998:22:03:17,893966597,13.808,11,
30/Apr/1998:22:03:18,893966598,32.438,16,
30/Apr/1998:22:03:19,893966599,3.859,5,
30/Apr/1998:22:03:20,893966600,124.442,33,
30/Apr/1998:22:03:21,893966601,9.012,13,
30/Apr/1998:22:03:22,893966602,65.094,6,
30/Apr/1998:22:03:23,893966603,46.081,15,
